id,name,filename,description,features,complexity,phase_match,gpt_support,input_example,output_example,feature_1,feature_2,feature_3,feature_4,feature_5,ui_mode,assistant_mode,is_modular,streamlit_tech_used,assistant_calls,launch_context,display_mode,data_sensitivity,ai_augmentation_type,plugin_ready
template_01,Basic Launcher,template_01.py,Minimal runner for any assistant,"['file_upload', 'gpt_toggle']",basic,Any,yes,CSV file,Execution log,Upload,Toggle,Execute,Output,Log,basic,single,yes,"sidebar, button",1,development,raw,public,prompting,yes
template_02,File-Centric Assistant,template_02.py,"Supports assistants with CSV, JSON input","['file_upload', 'structured_inputs']",basic,1–4,yes,CSV/JSON,Parsed DataFrame,Upload,Preview,Parse,Clean,Confirm,basic,single,yes,"file_uploader, dataframe",1,development,table,public,none,yes
template_03,Prompt Experimentation UI,template_03.py,Template 03 description,"['modular_ui', 'gpt_toggle']",intermediate,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,form,single,yes,"file_uploader, selectbox",1,development,table,public,none,yes
template_04,Form Input Assistant,template_04.py,Template 04 description,"['modular_ui', 'gpt_toggle']",intermediate,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,form,single,yes,"file_uploader, selectbox",1,development,table,public,prompting,yes
template_05,Multi-Step Assistant Wizard,template_05.py,Template 05 description,"['modular_ui', 'gpt_toggle']",intermediate,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,dropdown,single,yes,"file_uploader, selectbox",1,development,table,public,none,yes
template_06,Assistant Chaining Demo,template_06.py,Template 06 description,"['modular_ui', 'gpt_toggle']",intermediate,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,dropdown,chain,yes,"file_uploader, selectbox",2,development,table,public,prompting,yes
template_07,Validation Dashboard,template_07.py,Template 07 description,"['modular_ui', 'gpt_toggle']",intermediate,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,dropdown,chain,yes,"file_uploader, selectbox",2,development,table,public,none,yes
template_08,File Visualizer,template_08.py,Template 08 description,"['modular_ui', 'gpt_toggle']",intermediate,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,dropdown,chain,yes,"file_uploader, selectbox",2,development,table,public,prompting,yes
template_09,GPT Response Viewer,template_09.py,Template 09 description,"['modular_ui', 'gpt_toggle']",intermediate,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,dropdown,chain,yes,"file_uploader, selectbox",2,development,table,public,none,yes
template_10,Modular Assistant Hub,template_10.py,Template 10 description,"['modular_ui', 'gpt_toggle']",advanced,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,dropdown,chain,yes,"file_uploader, selectbox",2,development,table,public,prompting,yes
